ID,Name,Siret,Address,Zip Code,Type ID,Data Pass ID,Is Active,City,City Insee Code,Department Insee Code,Is Experiment,France Services Label,France Services Number,UUID
3337,ASEM,79008521100049,13 RUE LOUIS FRANCIS,58000,335,13980,true,,58194,58,false,false,,53db0ccc-ba4a-4444-9e80-88313de98809
1984,STATION ESS NEVERS,84934225800019,7 bis boulevard de la République,58000,154,9486,true,,58194,58,false,false,,8652fb71-efac-4af6-ace1-dcd1de235edb
4352,Nevers Agglomération,0,124 route de marzy,58000,7,58010632,true,Nevers,58194,58,false,false,,ec97aff8-fc2b-42d6-818a-622bbb9c4055
4701,France Services de Nevers La Baratte,1,"La Baratte
4 rue des Quatre Echevins",58000,1,288007,true,Nevers,58194,58,false,true,,cafbd3c4-631d-4f7a-b54a-475a11adc27a
4886,Département de la Nièvre - direction du développement social local,22580001000012,Rue de la Prefecture,58000,5,58011407,true,Nevers,58194,58,false,false,,662390b4-c0b1-4a4a-afed-e7904a641d10
2957,Espace Socioculturel Grand Ouest de Nevers,89347411400012,20 RUE HENRI FRAISOT,58000,17,12810,true,,58194,58,false,false,,5bf95132-f036-426e-bf69-f8d9fae4560c
701,Bureau Information Jeunesse de la Nièvre,32681814300033,5 Allée de la Louée 58000 Nevers,58000,,3853,true,,58194,58,false,false,,64d25855-11cb-4d3e-9091-712300070c13
4700,France Services Nevers Grand Ouest,89347411400012,20 Rue Henri Fraisot,58000,1,288006,true,Nevers,58194,58,false,true,,c9c70321-054c-49bf-9e93-d77394917ded
1916,Maison France Services les Bertranges,20006808800018,42 route de Lurcy,58700,141,8304,true,Les Bertranges,58186,58,false,true,,e30852b4-1a42-440d-9445-6b1f80cf694e
1980,centre social et culturel du Beuvron,77843708700019,9 RUE DU COMMANDANT VICTOR GUERREAU,58420,17,9025,true,,58181,58,false,false,,8e33915a-3ea2-4e92-96e4-832774b236b1
4690,France Services de Montsauche,1,"Les Settons
Place Marcel Mariller",58230,1,287996,true,Montsauche-les-Settons,58180,58,false,true,,985e0640-bf10-476d-8f17-47a5310d66b0
1079,Centre social de Moulins-Engilbert,35024514800019,2 RUE DE LA MISSION,58290,,7120,true,MOULINS-ENGILBERT,58161,58,false,false,,61ab7a77-2521-488c-b047-015f3646919f
4680,France services de La Machine,1,3 Av. de la République,58260,1,287988,true,La Machine,58151,58,false,true,,41404643-c751-4a03-a74a-c446dbe49b37
4694,France Services de Luzy,21580149900017,12 avenue Marceau,58170,1,288000,true,Luzy,58149,58,false,true,,1f19f127-4043-4881-84c3-9436c9b11be6
4689,France Services de Lormes,1,Quartier Henri-Bachelin,58140,1,287995,true,Lormes,58145,58,false,true,,2c30bf4a-3e2e-4c8c-8210-f3115e52117d
4475,ESPACE ROGER GRIBET - CENTRE SOCIOCULTUREL,30289575000016,1 rue Paul Vaillant Couturier,58160,1,58110815,true,IMPHY,58134,58,false,true,2439,ea3a2d50-aa4c-4658-83bd-b437c8ce65c2
4679,France Services d'Imphy,1,1 rue Paul Vaillant Couturier,58160,1,287986,true,Imphy,58134,58,false,true,,94227c12-5cbe-497d-8815-991716eff9ac
4686,France Services Fourchambault,1,Avenue Jean-Jaurès,58600,1,287992,true,Fourchambault,58117,58,false,true,,7b6b9de8-d63b-4ffe-8952-e3ad1579c317
4476,France Services/La Poste Dornes,35600000025752,55 PLACE DE LA MAIRIE,58390,1,58310822,true,DORNES,58104,58,false,true,,6b4352f7-c195-4113-80c3-0782801c54e5
2665,Centre Social Robert Billoué,38787631100029,PL DU 11 NOVEMBRE,58300,17,10486,true,,58095,58,false,false,,143415a8-ac4b-44e2-ba59-b78add4c9946
4696,France Services de Cosne-sur-Loire,1,15 rue de Berry,58200,1,288002,true,Cosne-Cours-sur-Loire,58086,58,false,true,,90f77a5b-1557-444d-9d8d-20ca85508aff
492,Maison de la Formation et du Développement Economique,20006742900015,10 RUE DE druyes,58500,,,true,,58079,58,false,false,,cd317831-ade7-4673-a9ff-a477d6206f07
708,Maison de la formation et du développement économique,20006742900015,10-12 rue de Druyes,58500,,5857,true,,58079,58,false,false,,85d69cfa-0d42-43e6-af11-4c10e572c5b5
1078,France Services Donzy,21580102800014,7 rue d'Osmond,58220,,6896,true,Donzy,58077,58,false,true,,f1f39d27-a777-44f6-8b73-b9cd61f8e302
4843,CENTRE SOCIAL DU BAZOIS,77844315000033,1 bis rue de la Picherotte,58110,1,58111308,true,CHATILLON EN BAZOIS,58065,58,false,true,99,43e83f13-4c28-47b6-840f-1c98a254bb44
4697,France Services Chatillon en Bazois,1,1 bis rue de la Picherotte,58110,1,288003,true,Châtillon-en-Bazois,58065,58,false,true,,48243e9f-8dae-4bfb-8f0b-0a6e88bfba05
4479,l'Attribut,89310280600021,14-16 Grande rue,58350,1,58310843,true,Châteauneuf-Val de Bargis,58064,58,false,true,2783,38406da3-1a43-4c68-8623-057f88ba87e3
1072,Centre Medico Social (France Service),77844211100044,6 PL NOTRE DAME,58120,,6603,true,,58062,58,false,false,,e83163d4-5fdd-4c67-9d9f-6bac05377547
4691,France Services de Château Chinon,21580062400011,"Maison de la solidarité
6 place Notre-Dame",58120,1,287997,true,Château-Chinon,58062,58,false,true,,197c121d-097e-49c4-a691-34db88f3a00d
2970,France Services de La Charité sur Loire - Espace socio-culturel la pépinière,83022807800010,"2, rue de la Pépinière",58400,17,6265,true,La Charité sur Loire,58059,58,false,true,,fefce1a1-898d-4c40-98e1-e09c2d49edcc
4692,France Services de Cercy La Tour,1,"4 rue François-Mitterrand
Antenne centre social Entre Loire et Morvan",58340,1,287998,true,Cercy-la-Tour,58046,58,false,true,,528638c8-b0a7-4ef8-88b0-d5d94ff3e116
371,Mission numérique du Pays Nivernais Morvan,44851671600017,"114 Route d'Avallon, 58140 Lormes",58140,,3970,true,,58037,58,false,false,,41e22a2e-ee50-4c21-9140-0f7235c182d6
1069,ESPACE SOCIOCULTUREL COEUR DU NIVERNAIS,41127652000029,1 PL DE LA REPUBLIQUE,58330,,7055,true,,58035,58,false,false,,689dcfc0-ee9d-48a3-8ace-77cf9fbc1172
2967,Mairie d'Arquian,21580012900011,35 route de St-Amand,58310,19,7286,true,,58033,58,false,false,,f993c3f7-bfd2-4687-94e6-266a2031cce3
4746,COMMUNE DE DIESEN,21570765400012,1 Rue de Porcelette,57890,4,57811196,true,Diesen,57765,57,false,false,,aa7d6a40-c7bc-4e60-8277-5485e9a01de4
3999,France Services Woippy,21570751400018,3 rue du Chapitre,57140,1,57110360,true,Woippy,57751,57,false,true,2434,091da178-df8b-4b9c-b669-eb714be40701
