Name,ID,Is Active,City Insee Code,Address,Zip Code,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
Pôle de vie des Quartiers Nord-ouest / Point Info 14 / France Service Chemin vert,1386,true,14118,"5, rue Jean Racine",14000,false,,2,,,,,,,,,,,,
Pôle de vie des Quartiers Rive droite / Point Info 14 / France Service Guérinière,1387,true,14118,"16, avenue Capitaine Guynemer",14000,false,,1,,,,,,,,,,,,
Pôle de vie des Quartiers Centre / Sud-ouest / Point Info 14 / France Service Venoix,1388,true,14118,18 avenue des Chevaliers,14000,false,,2,,,,,,,,,,,,
CCAS de la Ville de Caen,1389,true,14118,45 RUE DE BERNIERES,14000,false,Caen,32,22,21,4,,2,,,1,10,,1,3
Familles rurales fédération départementale du Loiret,1391,true,45075,1 Rue d'Aquitaine 45380 La Chapelle-Saint-Mesmin,45380,false,,2,,,,,,,,,,,,
Centre Communal d'Action Sociale SAINT-JEAN-DE-LA-RUELLE,1392,true,45285,71 RUE CHARLES BEAUHAIRE,45140,false,SAINT-JEAN-DE-LA-RUELLE,2,,,,,,,,,,,,
Mairie Ingrandes,1393,true,86092,9 RUE DE LA GARE,86220,false,,1,,,,,,,,,,,,
Mairie de Saint-Pardoux-Soutiers,1394,true,79285,2 IMP DES ECOLIERS,79310,false,,1,4,9,4,,,,,1,,1,3,
Maison France Services Peyrelevade,1396,true,19261,55 Rue du Limousin,19290,true,,2,,,,,,,,,,,,
L'@telier de Neuville,1397,true,86177,7 rue Plault,86170,false,,1,4,7,1,,,,,2,4,,,
