Name,ID,UUID,Is Active,City Insee Code,Address,Zip Code,Siret,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
ADAM          AIDE AUX DEVOIRS ANIMATION DES MOULINS,3084,f1e58649-d95f-419a-81ad-1724c0f1b0f3,true,06088,4 RUE DE LA SANTOLINE,06200,42060918200027.0,false,Nice,1,,,,,,,,,,,,
Bureau Information Jeunesse de Londe-Les-Maures,3085,b17df653-a302-45b4-82b9-8c1e1e6809d9,true,83071,Rue Aristide Perrin - Maison des Associations,83250,21830071300011.0,false,Londe-Les-Maures,1,,,,,,,,,,,,
ADAMAL SALON-DE-PROVENCE,3086,064273ef-8ddc-4cb8-9bd8-5f0ae9c4334e,true,13103,89 BD ARISTIDE BRIAND,13300,39447256700046.0,false,Salon-De-Provence,4,,,,,,,,,,,,
Vers un tiers-lieu en pays d'Arles,3087,3336e01c-517d-49be-b599-7aa432b2c458,true,13004,"Maison publique de quartier de Trinquetaille, 4 Place Léopold Moulias",13200,84931356400015.0,false,Arles,0,,,,,,,,,,,,
CCAS   Commune de Maillane,3088,b6bdf057-823e-4da8-865f-18c4acdd8215,true,13052,PL DE L'EGLISE,13910,21130052000015.0,false,Maillane,1,,,,,,,,,,,,
Amitiés cité UDV,3089,197ae68d-9a4f-43c3-85d3-0fa3794a1d77,true,83137,11 RUE ALEXIS AGARRAT,83200,81795721000021.0,false,Toulon,2,16,35,22,,1,,,2,2,4,,4
Maison Pour Tous / Centre social Bonneveine Vieille Chapelle,3090,6dc78949-bb15-4fee-b6c7-9fb26d26d5fb,true,13208,70 avenue André Zenatti,13008,32976651300041.0,false,Marseille,2,15,54,39,,,,,1,5,,,9
centre socioculturel de Royan,3091,36b8e560-c55c-40bd-870f-fec6b7377986,true,17306,66 BD DE LA MARNE,17200,31984376900021.0,false,Royan,1,,,,,,,,,,,,
Konexio Bordeaux,3092,71d6b54b-e78e-4736-b3c7-f5bb0600e309,true,33063,20 PL SAINT MARTIAL,33300,82424482600031.0,false,Bordeaux,2,,,,,,,,,,,,
Communauté de Communes Val de Charente,3093,d54d465f-82d1-4b99-b744-00c64ddd07cb,true,16292,9 BD DES GRANDS ROCS,16700,20004301600019.0,false,Ruffec,2,,,,,,,,,,,,
MAIRIE DE SOYAUX,3094,efeba705-ce09-4d43-abbb-d958ad17b4f9,true,16374,235 AV DU GENERAL DE GAULLE,16800,21160374100011.0,false,Soyaux,2,6,,,,,,,,,,,
Conseil Départemental d'Eure-et-Loir UC,3095,e1f32745-2076-43ed-bb54-1447ec97f77e,true,28085,1 place Châtelet 28028 Chartres,28028,0.0,false,Chartres,2,18,,,,,,,,,,,
Association Cordia,3096,7f399518-8519-4ce6-a8d5-a6376f52dcbf,true,75112,3 RUE SAINT NICOLAS,75012,41218715500186.0,false,Paris 12,4,,,,,,,,,,,,
La Marmite,3097,28924b4a-b76f-4500-8cd3-44677695ba74,true,93010,18 B AV LEON BLUM,93140,39758222200055.0,false,Bondy,4,,,,,,,,,,,,
Villa coeur de femmes,3098,ee9a6a38-891c-470a-9d40-bd21407d36d4,true,75118,54 RUE DU RUISSEAU,75018,77568497001291.0,false,Paris,1,,,,,,,,,,,,
CCAS de Combs La Ville,3099,2e3f5795-fb72-47ea-8156-7d310c5b7e7e,true,77122,ESP CHARLES DE GAULLE,77380,26770841000019.0,false,Combs La Ville,3,10,65,1,,,,,5,25,,34,
Mairie,3100,e55f09e1-ca44-41b8-bbd5-18c1c6133b1e,true,95627,RUE ROBERT MACHY,95810,21950287900014.0,false,Vallangoujard,1,,,,,,,,,,,,
MON ASSISTANT NUMERIQUE EVRY-SENART,3101,7b9d91cd-a67f-4e49-b11f-958212b056fb,true,91228,2 SQ JEAN ALLEMANE,91000,90927615600017.0,false,Evry Courcouronnes,1,,,,,,,,,,,,
LA TABLE DE CANA,3102,d42cd914-b895-45d8-b3d8-215e38cf1ba3,true,92002,5bis avenue maurice ravel,92160,34358659000030.0,false,Antony,1,,,,,,,,,,,,
SFM AD,3103,7c7ccf7b-ed97-4fc7-bb57-5cc2c69997d1,true,93072,7 RUE ALPHONSE DE LAMARTINE,93240,39988868400012.0,false,Stains,3,,,,,,,,,,,,
Konexio Paris,3104,c6202db3-ac5b-4e64-a8f5-4f75898b262e,true,75120,15 Rue de la Réunion,75020,82424482600023.0,false,Paris,6,,,,,,,,,,,,
Direction des Services à la Population et Action Sociale,3105,da57dc68-5a91-485e-8d05-7d6ece5dc123,true,95563,52 RUE DU GENERAL LECLERC,95320,21950563300012.0,false,St Leu La Foret,2,,,,,,,,,,,,
