name,division,code,no_thd_coverage_rate,no_4g_coverage_rate,poverty_rate,older_65_rate,nscol15p_rate,total
Cormoranche-sur-Saône,city,01123,5.0,5.0,8.0,5.0,6.0,3.7142857142857144
Cormoz,city,01124,6.0,5.0,8.0,6.0,6.0,5.357142857142857
Corveissiat,city,01125,7.0,9.0,8.0,4.0,6.0,5.5
Courmangoux,city,01127,6.0,9.0,8.0,8.0,6.0,5.928571428571429
Courtes,city,01128,6.0,5.0,8.0,6.0,7.0,6.214285714285714
Crans,city,01129,7.0,7.0,8.0,7.0,6.0,5.071428571428571
Bresse Vallons,city,01130,8.0,7.0,2.0,2.0,5.0,3.857142857142857
Cressin-Rochefort,city,01133,10.0,9.0,2.0,6.0,6.0,5.428571428571429
Crottet,city,01134,6.0,5.0,2.0,4.0,7.0,3.357142857142857
Crozet,city,01135,7.0,10.0,2.0,1.0,1.0,4.285714285714286
Cruzilles-lès-Mépillat,city,01136,7.0,5.0,2.0,3.0,4.0,3.142857142857143
Culoz,city,01138,8.0,9.0,6.0,6.0,9.0,6.5
Curciat-Dongalon,city,01139,8.0,5.0,2.0,8.0,9.0,6.428571428571429
Curtafond,city,01140,3.0,5.0,2.0,7.0,5.0,4.142857142857143
Cuzieu,city,01141,10.0,6.0,2.0,6.0,7.0,5.285714285714286
Dagneux,city,01142,9.0,6.0,1.0,2.0,4.0,3.857142857142857
Divonne-les-Bains,city,01143,7.0,8.916198262646908,2.0,2.7260091977516607,1.0,4.780100737280094
Dompierre-sur-Veyle,city,01145,8.0,6.0,2.0,4.0,6.0,4.5
Dompierre-sur-Chalaronne,city,01146,6.0,5.0,2.0,3.0,4.0,3.142857142857143
Domsure,city,01147,7.0,5.0,2.0,6.0,9.0,5.428571428571429
Dortan,city,01148,9.0,8.0,2.0,4.0,7.0,5.357142857142857
Douvres,city,01149,8.0,9.0,2.0,4.0,2.0,4.071428571428571
Drom,city,01150,5.0,6.0,2.0,2.0,2.0,3.9285714285714284
Druillat,city,01151,7.0,8.0,2.0,7.0,4.0,4.642857142857143
Échallon,city,01152,6.0,10.0,2.0,4.0,3.0,4.785714285714286
Échenevex,city,01153,5.0,9.0,2.0,1.0,1.0,3.7142857142857144
Évosges,city,01155,2.0,9.0,2.0,6.0,3.0,4.357142857142857
Faramans,city,01156,6.0,6.0,2.0,2.0,5.0,3.5
Fareins,city,01157,8.0,5.0,2.0,5.0,4.0,3.357142857142857
Farges,city,01158,8.0,10.0,2.0,1.0,2.0,5.285714285714286
Feillens,city,01159,7.0,5.0,2.0,6.0,7.0,3.9285714285714284
Ferney-Voltaire,city,01160,8.0,6.370085901970692,9.0,1.5730166750884285,1.3611925214754927,6.2127625785028515
Flaxieu,city,01162,7.0,5.0,2.0,6.0,3.0,4.428571428571429
Foissiat,city,01163,8.0,6.0,2.0,7.0,7.0,4.642857142857143
Francheleins,city,01165,6.0,5.0,2.0,2.0,3.0,3.2857142857142856
Frans,city,01166,9.0,5.0,2.0,3.0,4.0,3.4285714285714284
Garnerans,city,01167,5.0,5.0,2.0,4.0,6.0,3.7857142857142856
Genouilleux,city,01169,6.0,5.0,2.0,1.0,3.0,3.2142857142857144
Béard-Géovreissiat,city,01170,2.0,6.0,2.0,1.0,5.0,3.4285714285714284
Géovreisset,city,01171,10.0,7.0,2.0,2.0,6.0,4.428571428571429
Gex,city,01173,7.0,7.656889703635808,3.0,1.0,1.7023373052245647,4.755232202871982
Giron,city,01174,7.0,10.0,2.0,4.0,2.0,5.642857142857143
Gorrevod,city,01175,6.0,5.0,2.0,5.0,7.0,4.642857142857143
Grand-Corent,city,01177,10.0,6.0,2.0,9.0,3.0,5.5
Grièges,city,01179,5.0,5.0,2.0,7.0,6.0,4.0
Grilly,city,01180,8.0,8.0,2.0,4.0,1.0,4.428571428571429
Groissiat,city,01181,6.0,6.0,2.0,5.0,5.0,4.214285714285714
Guéreins,city,01183,9.0,5.0,2.0,4.0,6.0,3.7142857142857144
Hautecourt-Romanèche,city,01184,6.0,7.0,2.0,6.0,4.0,4.642857142857143
Plateau d'Hauteville,city,01185,7.0,10.0,4.0,9.0,6.0,6.714285714285714
Haut Valromey,city,01187,9.0,10.0,2.0,8.0,5.0,6.642857142857143
Illiat,city,01188,10.0,6.0,2.0,2.0,4.0,3.9285714285714284
Injoux-Génissiat,city,01189,6.0,10.0,2.0,2.0,4.0,4.857142857142857
Innimond,city,01190,10.0,9.0,2.0,9.0,9.0,6.214285714285714
Izenave,city,01191,10.0,9.0,2.0,7.0,7.0,5.428571428571429
Izernore,city,01192,6.0,8.0,2.0,2.0,7.0,4.928571428571429
Izieu,city,01193,7.0,9.0,2.0,8.0,5.0,6.571428571428571
Jassans-Riottier,city,01194,9.0,5.0,2.0,6.343194335169158,5.343194335169158,4.646026750590087
Jasseron,city,01195,6.0,6.0,2.0,6.0,3.0,3.7857142857142856
Jayat,city,01196,8.0,5.0,6.0,2.0,6.0,3.9285714285714284
Journans,city,01197,10.0,8.0,6.0,6.0,2.0,4.142857142857143
Joyeux,city,01198,2.0,5.0,6.0,1.0,2.0,4.357142857142857
Jujurieux,city,01199,9.0,9.0,6.0,5.0,5.0,5.428571428571429
Labalme,city,01200,6.0,9.0,6.0,4.0,6.0,5.571428571428571
