name,division,code,no_thd_coverage_rate,no_4g_coverage_rate,poverty_rate,older_65_rate,nscol15p_rate,total
CC de la Marche Berrichonne,epci,200007052,7.309254680324973,8.82815259625574,6.944365948428117,10.0,9.707170611091486,8.557788767220064
CC Pays de Nérondes,epci,200007177,7.3851517637407715,6.259844134536506,6.421862182116489,7.635356849876948,8.305783429040197,7.201599671862182
CA du Grand Dole,epci,200010650,6.39791151415224,5.675863332417331,5.528331959329486,6.361454612072913,5.92551067142988,5.977814417880369
CA Caux Seine Agglo,epci,200010700,6.034301265757786,5.986944465839945,5.155151608513697,4.556009140157642,7.385029140671134,5.82348712418804
CA Annemasse-les Voirons-Agglomération,epci,200011773,6.084877055529734,5.6207201823694755,6.0542128676714695,2.520494433747206,3.689861230993958,4.794033154062369
CC Portes du Berry entre Loire et Val d'Aubois,epci,200011781,3.8590208052996586,7.729945140254632,6.17213538971121,7.581616809854053,7.614325639167788,6.591408756857469
CC Sauer-Pechelbronn,epci,200013050,3.7353888633225956,7.070754716981132,6.220490105844455,5.613782788771284,7.04958582604694,5.938000460193281
CC de l'Oriente,epci,200015162,7.571808953236811,7.625728074554835,4.439673822599434,7.661674155433516,6.264603095356964,6.7126976202363124
CC du Pays de Lamastre,epci,200016905,8.861934710991315,8.608565438754118,6.7243186582809225,8.405061395627433,8.322401916741539,8.184456424079066
CC Lodévois et Larzac,epci,200017341,5.573819567288067,8.03027622805824,7.445638862430263,7.131310382364948,5.616546468907334,6.75951830180977
CA Étampois Sud-Essonne,epci,200017846,3.4269226521370983,5.388708905496447,6.3336708021941615,3.2178883039428636,4.76469830283842,4.626377793321798
CC de Desvres-Samer,epci,200018083,3.291682818624284,6.625231511392514,6.213248912434854,3.980014644441573,6.139337554378257,5.249903088254297
CC Le Grésivaudan,epci,200018166,6.814760561164801,6.9201805008012425,3.9472851145826167,4.469252927239301,2.083034301050955,4.8469026809677835
CC du Romorantinais et du Monestois,epci,200018406,6.240510100709136,6.373845420415947,6.0570883737560335,7.781270484476491,8.642393182766224,7.019021512424766
CC du Val de Bouzanne,epci,200018521,7.14929107589658,7.516096747289408,4.813844870725605,7.465054211843203,8.797331109257716,7.148323603002501
CA Cap Excellence,epci,200018653,6.845423715208797,10.0,5.381694860835189,3.641362149579596,5.001183954407722,6.173932936006261
CC du Grand Pic Saint-Loup,epci,200022986,5.0809138407950005,6.594611207868046,3.1028378239934433,5.522385001536728,1.3703718881262166,4.334223952463887
CC du Pays de Maîche,epci,200023075,2.893392828342562,7.838503306273856,3.663566474920703,4.642599860222568,8.008547927530778,5.409322079458094
CC Les Portes Briardes entre Villes et Forêts,epci,200023125,4.873348041678499,5.398632560781144,2.5675964962100526,3.2362436925227724,2.9513532405688196,3.8054348063522574
CC Pays de Nemours,epci,200023240,6.012405446293495,5.5545469826861655,5.516759119179694,5.0139855437888725,6.161976802824004,5.6519347789544465
CC Cœur de Tarentaise,epci,200023299,7.247713414634147,7.670405052264808,6.396014808362369,4.470492160278746,6.110627177700349,6.379050522648083
CA du Grand Villeneuvois,epci,200023307,7.5516663173338925,6.214588136658981,7.077216516453574,8.189457136868581,7.262649339761056,7.259115489415217
CC de la Vallée de Chamonix-Mont-Blanc,epci,200023372,8.82099946429938,7.483355016453662,4.252085405984541,4.685084564169282,2.534476161322415,5.555200122445856
Métropole Rouen Normandie,epci,200023414,4.377734873815657,5.32813207382459,6.355232625417958,4.519096661814594,4.920450369792904,5.10012932093314
CC de la Gascogne Toulousaine,epci,200023620,7.166009517335146,5.32648991615681,2.9156582823476094,2.6525719465216406,1.8198504418762746,3.9761160208474955
CA du Grand Cahors,epci,200023737,7.140920236549834,6.86980143276119,5.434588201355834,7.566926294533391,4.11863551132266,6.226174335304582
CC du Pays de Saint-Gilles-Croix-de-Vie,epci,200023778,7.770094061604295,5.253643373299423,2.1527794598522467,8.960760566791812,8.091538492592145,6.445763190827985
CC de Blaye,epci,200023794,6.557456359102244,5.977356608478803,5.276309226932669,6.216708229426434,7.208329177057356,6.247231920199501
CC Gâtinais Val de Loing,epci,200023919,5.542991503233046,5.626569764334954,5.837599529738684,5.650991289477903,7.364292203281141,6.004488858013145
CC Haut-Jura Saint-Claude,epci,200026573,8.991212046408295,8.774574179215008,6.364107627746236,6.869859294001481,7.277116761293508,7.655373981732905
