ID;Name;Is Active;City Insee Code;Address;Zip Code;Siret;France Services Label;Nombre d'aidants;Nombre D'usagers Uniques;Nombre De Demarche Par Structure;Nombre Demarche Argent;Nombre Demarche Etranger;Nombre Demarche Famille;Nombre Demarche Justice;Nombre Demarche Loisirs;Nombre Demarche Papier;Nombre Demarche Social;Nombre Demarche Transport;Nombre Demarche Travail;Nombre Demarche Logement
1059;Centre Communal d'Action Sociale de Bressuire;TRUE;79049;1 rue du docteur Cacault;79300;26 790 005 800 277;FALSE;5;;;;;;;;;;;;
1060;France Services Aire sur l'Adour;TRUE;40001;4 RUE RENE MERICAM;40800;26 400 430 000 093;TRUE;6;;;;;;;;;;;;
1061;Mairie de Meymac;TRUE;19136;PL DE L'HOTEL DE VILLE;19250;21 191 360 300 018;FALSE;2;;;;;;;;;;;;
1062;France Services du Pays d'Orthe et Arrigans;TRUE;40224;156 RTE DE MAHOUMIC;40300;20 006 941 700 067;TRUE;5;5;15;;;6;;;6;4;;3;
1063;CCAS DU HAILLAN;TRUE;33200;135 AV PASTEUR;33185;26 330 603 700 015;FALSE;8;12;140;9;;41;;;17;70;10;22;28
1064;MAISON FRANCE SERVICES DE CILAOS;TRUE;97424;66 RUE DU PERE BOITEAU;97413;21 974 024 800 014;TRUE;3;137;2 949;758;403;573;407;398;406;472;406;516;409
1065;COMMUNE DE MONTROY;TRUE;17245;44 Grande Rue;17220;21 170 245 100 017;FALSE;4;;;;;;;;;;;;
1066;MAIRIE DE TREBEURDEN;TRUE;22343;7 RUE DES PLAGES;22560;21 220 343 400 015;FALSE;2;1;5;2;;;2;;;;;2;2
1067;LIGUE DE L'ENSEIGNEMENT DU JURA - FEDERATION DES OEUVRES LAIQUES DU JURA;TRUE;39300;280 RUE DES VIOLETTES;39000;77 839 658 000 129;FALSE;2;;;;;;;;;;;;
1068;MAISON FRANCE SERVICES CORBIGNY;TRUE;58208;3 GRANDE RUE;58800;20 006 769 200 018;TRUE;2;10;32;3;;6;;;;4;17;3;
1069;ESPACE SOCIOCULTUREL COEUR DU NIVERNAIS;TRUE;58035;1 PL DE LA REPUBLIQUE;58330;41 127 652 000 029;FALSE;4;;;;;;;;;;;;
1070;MAIRIE DE TANNAY;TRUE;58284;1 PL CHARLES CHAIGNEAU;58190;21 580 286 900 010;FALSE;1;;;;;;;;;;;;
1071;Agate Paysages;TRUE;39502;11 RTE DE SALINS;39380;40 288 464 700 056;FALSE;3;15;66;11;;5;;;11;15;27;5;4
1072;Centre Medico Social (France Service);TRUE;58062;6 PL NOTRE DAME;58120;77 844 211 100 044;FALSE;0;;;;;;;;;;;;
1073;Mairie de DOUBS;TRUE;25462;6 Grande Rue;25300;21 250 204 100 016;FALSE;3;6;14;;;;;;12;2;2;;
1074;Bureau des interventions;TRUE;02722;7 rue de l'Intendance 02200 SOISSONS;02200;21 020 695 900 012;FALSE;1;;;;;;;;;;;;
1075;Association Habitat Jeunes Béthanie;TRUE;59350;15 RUE SAINT GENOIS;59800;1;FALSE;4;;;;;;;;;;;;
1076;Maison des familles;TRUE;71540;Esplanade Jean-Louis Regniaud 71210 Torcy;71210;26 710 582 300 012;FALSE;6;;;;;;;;;;;;
1077;Association Femmes Debout;TRUE;39198;63 AV VERDUN;39100;42 412 395 800 029;FALSE;5;;;;;;;;;;;;
1078;France Services Donzy;TRUE;58077;7 rue d'Osmond;58220;21 580 102 800 014;TRUE;2;;;;;;;;;;;;
1079;Centre social de Moulins-Engilbert;TRUE;58161;2 RUE DE LA MISSION;58290;35 024 514 800 019;FALSE;3;;;;;;;;;;;;
1080;BIBLIOTHEQUE MUNICIPALE DE DAIX;TRUE;21223;6, rue de Dijon;21121;21 210 223 000 019;FALSE;1;1;3;;;;;;;;3;;
1081;EHPAD Durand Robin;TRUE;85089;104 RUE NATIONALE;85280;26 850 128 500 020;FALSE;1;;;;;;;;;;;;
1082;ACCES;TRUE;57332;Rue des Ifs 57470 Hombourg-Haut;57470;44 927 471 100 026;FALSE;7;;;;;;;;;;;;
1083;Régie Rurale du Plateau;TRUE;52526;4 Ancienne Gare;52160;41 467 737 700 023;FALSE;3;;;;;;;;;;;;
1084;FACE ALSACE;TRUE;68224;6 Rue de la Bourse 68100 Mulhouse;68100;40 751 453 800 021;FALSE;4;;;;;;;;;;;;
1085;Association Tutélaire des Vosges;TRUE;88160;8 Allée des Blanches Croix 88000 Épinal;88000;32 892 226 500 058;FALSE;3;;;;;;;;;;;;
1086;Mon Assistant Numérique Charleville-Mézières;TRUE;08040;4 Allée des Bouvreuils;08000;89 162 801 800 014;FALSE;1;1;18;10;;3;;;3;6;;6;
1087;France Services de Morhange;TRUE;57483;Hôtel Communautaire 2 rue de Pratel;57340;20 006 750 200 019;TRUE;3;8;54;;;17;;;6;20;2;15;12
1088;RELAIS FAMILLES AZERAILLES - FRANCE SERVICES;TRUE;54199;4 place du général Helle 54122 Azerailles;54122;44 766 155 400 025;TRUE;2;17;113;11;4;28;;;36;36;16;22;7
1089;FEDERATION MEDICO-SOCIALE;TRUE;88160;5, rue Roland Thiery;88000;78 343 916 900 088;FALSE;4;;;;;;;;;;;;
